From	Entry	Interacts with
P06239	P06239	O14672; Q13444; P10275; P20749; P22681; P20963; P01730; Q5VV42; Q12959; P36888; Q13283; Q13480; P23771; P07900; P08238; Q07666; P10721; O43561; P06239; Q13094; Q9BRK4; P28482; Q9H204; P08581; P04150; Q04759; Q9Y2R2; P29350; P08575; Q9NP31; P43405; Q8N1K5-1; P0CG48; P62258; P43403; Q63767; P08921; P22575; Q9YJQ8; Q96DX5; Q9BXJ5; A8MTA8-2; Q9GZU7; Q8NI38; I6L996; Q92753-1; Q9UPQ4-2; Q5T6F2
P06241	P06241	P42684; O14672; Q13444; P31749; Q92870-2; Q96BI3; Q06481-5; P05067; A7KAX9; O14559; Q9ULH1; P54253; P56945; P23560-2; P22681; P35520; P83916; P06307; P06729; Q9Y5K6; Q16543; P99999; O43281; P04626; P48023; P36888; P02751-7; O15117; P06241; P04406; Q9HCN6; Q9HCN6-1; P30519; P07900; P08238; P50406; Q07666; P13473-2; Q92918; P10636; P10636-2; P10636-5; P10636-6; P10636-8; Q9H204; Q9NZQ3; Q8WX92; Q9NWQ8; Q8WUM4; P09619; P00491; O43900; Q05655; Q04759; Q9NZ42; Q05397; Q14289; P62826; Q13905; Q86UR5; Q96GP6; P37840; P12931; Q9UNE7; P13051-2; Q9UBQ0-2; P42768; Q9Y2W2; Q9WU82; Q2GHU2; P31424-2; P61980; P03407; Q9QPN3; Q8BHK6; O92972; P27958; Q9WMX2; P05067-2; P54253; P54252; O95429; P46379-2; P56945; Q13191; Q9Y2H0-1; O14645; P50570-2; Q8N9I9; O43281-2; Q9UJM3; Q86YD7; P14136; Q53GS7; P42858; Q8WXH2; O14901; Q6FHY5; P19404; Q99497; Q16637; P37840; Q7Z699; P14927
P06401	P06401	Q9H467; P03372; P06401; P40763; P03372
P06493	P06493	Q86V81; P05067; O15392; P14635; P30307; Q99741; P38936; P46527; P61024; O75618-1; P36957; P00533; P19525; Q12778; O95835; P27986-2; Q99640; O43508; P0CG48; P21796; P03070
P06746	P06746	Q9H5J8; P29144; O76024; P18887
P06858	P06858	Q9UI10; Q8IV16; O00746; C9J082; O14744; Q8TAS3; O00233; Q8IYM2; Q9UMY4; O43493-5; Q8NFB2; Q8N0U8
P07148	P07148	P54764; P21333-2; Q96EK6
P07195	P07195	P42858; P00338; P00338-3; P07195; P07864; Q5S007; P50542; O00560; P54274; P38340
P07203	P07203	P13569; PRO_0000449623 [P0DTD1]
P07332	P07332	P10275; P15924; P15311; Q13480; P10721; P54274
P07333	P07333	P09603; Q15375; P29323; Q6ZMJ4-1
P07451	P07451	P37235; Q9BS40
P07550	P07550	P30542; P07550; P32121; Q96B67; Q9UII2; Q9ULD4-2; Q9NSI6-4; Q5M9N0-2; A0AVK6; Q658K8; O00472; Q15910-2; Q15486; P61978; Q5TCQ9; Q99685; O14745; Q9NR21-5; Q8WVD3; Q9H0X6; Q13573; P12931; Q5T0J7-2; Q8N0U2
P07686	P07686	Q9Y575-3; O75808; Q9UNS2; Q96KR6; P06865; P49639; Q8N4N3; Q8TBB1; Q13064; Q13564; Q8NFH3; Q9GZY0; Q96FW1; O75925; Q96PM5-4; Q96D59; Q6NW29; Q04724; Q9NUH8; Q7KZS0; O95164; Q9UHD9; Q9H347; Q8IYU4; Q8IWV7; O00308; P98170; Q05516
P07711	P07711	O60911; O43765; P0DTC2; P59594; G5EFH4
P07900	P07900	Q6UY14-3; O95433; Q9Y243; Q16671; P05067; Q9H0C5; Q9UQM7; Q8IWD4; Q9BV29; Q16543; Q7L3B6; Q96Q40; P50750; Q96G23; Q9UHD1; O15111; Q6QEF8-4; Q14194; P35222; Q15438; Q9NR20; P00533; P07814; P04626; Q02790; Q13451; Q14318; P06241; Q96LI6-3; P07900; Q6PK50; Q9Y6K9; Q9UHH9; P05412; Q92993-2; Q6VAB6; P06239; Q99558; O43318-2; P00540; Q9Y239; P04150; Q8WVJ2; P43034; P53041; P17612; Q8WUY3; Q96QS6; Q15185; P04049; Q13127; Q9H6T3; P61247; P12931; Q15831; Q9UNE7; Q15750; Q9NYJ8; O94826; Q9BXA6; P10599; Q8IWX7; Q9H6R7-2; Q9D1P4; P26882; P35467
P07947	P07947	O14672; P09917; Q9Y2J4; P10275; P56945; Q8TD16-2; Q6P1W5; Q9H257-2; Q13191; Q9ULV8; Q16543; Q9H5V8; Q8IYX8; Q9Y592-2; Q9HD42; Q16630-2; P46109; A8MQ03; Q96D03; Q68D51-2; P17661; O60496; Q8N9I9; O43281-2; P00533; P25445-1; Q96Q35-2; Q8IVP5; P51114-2; P51116; Q13480; O95995; P14136; P08238; Q9UKT9; Q96N16; P10721; Q14847-2; Q9NUP9; Q9H204; P08581; Q9GZT8; Q8TAK6; P09619; Q9NRD5; Q92569; I6L996; P49023-2; Q15428; Q9NR46; O14508; O14543; O14512; Q9BWW4; Q9UGK3; Q9NVV9; Q12933; Q9Y4K3; Q9C035-3; Q3SY00; Q96BR9; Q96GY0; Q7Z4V0
P07948	P07948	P01023; O43184; Q13444; P05067; P10275; Q8NDB2; Q96GW7; P22681; P20273; P25063; P16671; P11049; P46527; P50570-2; P00533; Q9BS26; Q13480; Q9HCN6; Q9HCN6-1; P14317; P08238; P05556; Q07666; P10721; Q96L34; P33993; P51608; P08581; Q9NWQ8; P27986-2; P07602; Q05397; P63244; Q6UWF3; P37840; Q7Z699; P12931; Q15642; Q8R5G7; Q08857; P61980; P03407; Q9QPN3; O92972; P22575; P27958; Q9WMX2; P00533; P33993
P07949	P07949	Q9UM73; P22681; P62861; P22455; Q7Z3S9; P40763; Q9Y490; Q62985; Q7Z3S9
P08069	P08069	Q9NZN5; PRO_0000004724 [P49913]; P41240; P35222; Q13322; P05019; P08069; P06213; P05556; Q9Y2W7; Q9UJU2; P27986; O00459; P35813; P18031; Q06124; P29350; P29353-2; O43791; Q01995; P31946; P62258; P61981; Q64010; P01317; P63103
P08183	P08183	Q86VI4; Q99496
P08238	P08238	P36896; Q9UL18; O95433; O00170; P31749; P31751; Q9UM73; Q16671; Q01432; P10398; Q96GD4; P30530; P51451; P51813; P15056; Q06187; Q9UQM7; Q13555; Q16543; Q7L3B6; Q15131; Q9UQ88; O94921; Q96Q40; Q00526; P11802; Q00534; P50613; P50750; O14757; Q9UHD1; O15111; Q9UPZ9; P49761; P48729; P49674; P68400; Q13616; Q13617; Q13618; Q13619; Q13620; Q16832; Q9Y463; Q9NR20; P00533; Q9BQI3; P29317; O15197; P04626; P21860; Q15303; Q96A26; Q9UKC9; O75426; Q9UKT8; Q969H0; P16591; P11362; P22607; P09769; Q02790; Q13451; Q14318; P35916; P06241; P43250; Q8WTQ7; P49840; Q8TF76; P08631; Q8NE63; P08238; O14920; Q14164; Q9Y6K9; Q13418; P14616; Q08881; Q53GT1; Q2WGJ6; P06239; Q08380; P53671; P07948; Q8N7X4; Q13163; O14733; Q13233; Q99558; Q99759; O43318-2; P41279; P80192; Q92918; Q8TD08; P31152; P10636-8; P42679; P00540; O15146; Q9H1R3; Q86YV6; Q8WXR4; Q8NG66; Q86SG6; Q8TD19; O75469; P04629; Q8N165; Q9BXM7; Q9P215; P53041; Q13131; P22694; Q02156; P05129; Q05513; Q15139; O60260; P51817; P11801; Q96QS6; Q15185; Q13882; P04049; P49758; Q13546; Q01974; Q9H6T3; P62913; Q15418; P51812; Q9HBY8; P31948; Q15831; Q86UX6; Q15208; Q9UNE7; Q6J9G0; Q9Y2Z0-2; Q9UHD2; Q96S53; Q07912; Q9BXA7; Q96PF2; Q9BXA6; O95801; P29597; Q06418; Q8IWX7; P07947
P08246	P08246	P01009; Q07563; P0DTC2
P08253	P08253	P05067; PRO_0000000092 [P05067]; PRO_0000000093 [P05067]; P20908; Q8NBP7; Q04864-2; Q8IX30; P16035
P08473	P08473	P05067; P21926; Q06787-7; P08107; P04792
P08514	P08514	P08514; P05106; P21333; P05106
P08581	P08581	P22681; P12830; O60716; Q96EY1; Q96EY1-2; P00533; P09769; P14210; P14210-6; O15357; P35968; P06239; P07948; P08581; P41218; P15941; P16333; O43639; Q16288; P27986; O00459; Q92569; P19174; O43157; O15031; Q9ULL4; Q8TCU6; P18031; Q06124; P23467; Q12913; Q16827; Q96S59; P20936; Q9UQQ2; O60880; O14796; Q9NP31; Q8N5H7; Q15464; P29353; P98077; Q6S5L8; Q96IW2; Q9H6Q3; O75159; O14544; P12931; Q9ULZ2; P43405; P42680; Q9HBL0; Q63HR2; Q68CZ2; Q9UKW4; P07947; P43403; Q08048; P0DQD2; P35918; Q00944
P08588	P08588	P30542; P78352; Q86UL8; Q5TCQ9; Q14160; P31016; P14270
P08631	P08631	P00519; O14672; O43184; Q13444; P09917; Q9ULH1; P00533; Q92556; P21860; Q9HD26; P08238; Q07666; P10721; Q6A162; P60411; Q5JR59; P59046; Q7Z3S9; Q13177; Q8WUM4; Q07889; P42768; O43516; P03406; P03407; P04324; Q90VU7; Q9QPN3; P12504; O92972; P27958; O95994; Q9NP55; P22681; A6NC98; P78358; Q8WUJ1; A8MQ03; Q5TD97; O43559; Q9HD26-2; O75031; Q0VD86; Q5T749; Q15323; O76011; Q92764; O76013-2; Q6A162; Q07627; Q8IUG1; P60409; P60410; P60411; Q9BYR8; P21741; Q9UJV3-2; Q13064; Q5JR59-3; P0DPK4; Q8TAK6; Q92569; Q58EX7; Q8ND90; Q05397; Q93062-3; O14492-2; Q8WW24; Q96N21; Q96NM4-3; P14373; Q15654; O76024; Q8NAM6
P08648	P08648	P17813; P05556; O14786; Q9H0F6; P97333
P08684	P08684	O15287; Q6ZQX7-4
P08908	P08908	P11362; O43194
P08922	P08922	P18031; P29350
P09086	P09086	P35548
P09211	P09211	Q6UY14-3; Q92624; Q9BWT7; A8MQ03; Q9NRD0; Q5TD97; P49639; Q15323; Q14525; O76011; P78385; Q07627; Q8IUG1; P60409; P60411; Q9BYR8; Q9BYR6; Q3LI66; Q9P2M1; Q5JR59-3; Q7Z3S9; P0DPK4; P22735; Q12933; Q8N720
P09429	P09429	Q15109; Q6RW13; P05067; Q14457; O95273; Q00839; P42858; P08729; P43246; P09874; Q96T23; P23497; P84103; P04637; Q96B54
P09619	P09619	P05067; Q8TAP6; P06241; Q14451; P14778; P35968; Q53G59; Q5T749; Q15323; O76011; P60411; P60328; O94898; O75581; O14745; Q15599; P01127; P27986; O00459; P19174; P60484; P18031; Q06124; Q05209; P23470; Q12913; P20936; Q13239; Q15654; P07947; P0CK45; P35918; Q28619; P23727; P08487; P41499; P25020
P09769	P09769	P09917; P10275; P00533; P04626; P08238; P10721; P08581
P09874	P09874	Q8IW19; Q7Z2E3; P42574; P49715; Q8N884; Q86WJ1-1; P26358; Q01094; Q96L91; P11308; O60741; P09429; Q13007; Q9BQ69; P08651; Q9Y530; P09874; Q8N2W9; P46063; Q9NTX7; Q14684-1; O95863; P63165; Q9UNS1; P04637; P0CG48; Q14191; P18887; P54577; Q2M1K9; Q02085
P09884	P09884	P27694; P10193; P03070
P09917	P09917	Q8IYJ2-2; Q6PII3; Q6P2R3; Q8IYX8-2; Q96MT8; Q96MT8-3; Q14019; P09769; O43716; P08631; Q6UWX4; P14061; P31025; Q9Y6D9; P50221; Q6FHY5; Q86Y26; A6NGQ2; P17612; Q04864; Q7Z699; Q8N0S2; Q9P0N9; P07947
P09936	P09936	P63010-2; P05067; P05067-2; Q8N6T3-3; P18847; Q9H1Y0; O15392; Q8WUW1; P83916; P11802; Q00535; Q9UNS2; Q92905; P00533; O60739; Q8TC29; Q9UI08-2; Q8WVV9-3; Q14164; Q6DN90-2; Q96JM7-2; P13473-2; Q9BYZ2; O95777; A4FUJ8; Q15843; O15381-5; Q9BR81; Q13113; P62826; Q8TAI7; Q9ULX5; Q15554-4; Q9NYB0; P04637; Q9Y4K3; P19474; Q9BSL1; Q7KZS0; P61086; Q9UK80; Q86WB0-2
P0DP23	P0DP23	O75874; Q5JU85
P10275	P10275	P00519; Q9UBL3; P51451; Q8WV28; O60885-1; P78543; Q14790; P24385; Q92793; O14595; P35222; Q9UER7; P20711; P11308; P07332; P09769; Q14192; Q02790; P55317; O75593; Q14451; P06396; P56524; Q16665; Q16666; O15357; Q15652; Q92993; O95251; Q9BY66; Q9BY66-3; Q03164; O14686; P06239; P07948; P20794; P42679; Q00987; Q15596; Q14686; O96028; Q99497; P27986; O00459; Q92569; P19174; P16885; Q06830; P78527; Q06124; P20936; Q9UBS8; Q9Y252; O14796; Q9NP31; P29353; Q6S5L8; Q5VZ18; Q15797; O14544; P12931; Q9ULZ2; P63165; Q9HBL0; P07947; Q9R1E0; Q06986
P10276	P10276	O43707-1; P31749; O15296; Q15699; Q96RK4; O95273; P51946; Q15910; P50148; Q9UKP3; Q96EZ8; Q15648; Q71SY5; Q15788; Q9Y6Q9; O75376; Q9Y618; Q16236; P13056-2; P48552; Q9UPP1-2; Q9H8W4; P37231; P78527; P19793; P28702; P28702-3; P48443; Q96EB6; P63165; Q8WW24; Q2M1K9; Q91XC0; P59598; Q14457; P48552; Q96CV9; P28702; P48443; Q8WW24
P10415	P10415	Q9C0C7; P05067; Q92934; Q16611; Q07812; Q9BXH1; P51572; P10415; O43521; O43521-1; O43521-2; Q9NYF8; Q14457; P55957; Q13323; O60238; Q8N5K1; Q14318; P28482; O15151; Q9C000; P22736; Q13794; P67775; O15304; P00441; P04637; Q13625; Q61337; Q91ZE9; P11881; Q5S007; Q13794
P10636	P10636	P31749; PRO_0000001987 [P02649]; P05067; PRO_0000000092 [P05067]; Q9HC96; Q9NR30; O43583; Q92608-2; P06241; P49841; P11142; Q8TCE9; Q9UPY8; P10636; P04156; P46779; P43004; Q9UNE7; Q9UNE7-1; O15195-2; P63104; Q9C0A1; P06241; Q5S007; P31947; P63104; P63104; P06241; P02649; Q14203-5; Q92608-2; P06241; P11142; O60260-5; P37840; Q9C0A1; O00499-1; P07355; P08133; P05067; O00499-1; Q14203; P26196; Q02790; Q13451; P06241; P49840; P49841; P08238; P14625; Q92743; Q5S007; P10636-8; O43347; Q96DH6; P07237; Q12765; P31947; P37840; Q71U36; P07437
P10721	P10721	P00519; P42684; O75815; P51451; Q8WV28; P46108; P07332; P09769; O75791; P62993; Q14451; P08631; Q96JZ2; P21583; P06239; P07948; P16333; O43639; P27986; O00459; Q92569; P19174; P16885; Q13882; Q06124; Q92729; P20936; Q9UQQ2; O14796; Q9NP31; Q8N5H7; P78314; Q15464; P29353; P98077; Q92529; Q9H6Q3; O14508; O14543; O14544; P12931; Q9ULZ2; Q9HBL0; Q63HR2; Q68CZ2; P42681; P07947; P43403; Q8VBX6; P35235
P10809	P10809	P61158; P05067; Q9NVI7; O15382; Q9UMX3; P38398; Q8NHQ1; P13569; P28329-3; A8MQ03; Q6PI48; Q9UBU7; O77932; Q99944; Q6NXG1; Q99504; P22607; Q14957; P01112; P51553; Q0VD86; P05412; Q15323; O76011; Q6A162; P60410; P26371; Q14847-2; Q6ZQX7-4; Q9BRK4; Q9Y4C4; P12036; Q7Z3S9; Q9H649; Q8WUY3; O76081; O76081-6; Q8N6K7; Q12888; Q9UBQ0-2; Q9JJY3
P10826	P10826	O95273; P50222; Q9UBK2; P62195; P28702; P28702-3; P48443; P03255
P10827	P10827	Q9Y2J4; Q9Y2J4-4; O95971; Q8TAP6; Q96JM7; Q15648; Q6FHY5; P31321; Q96A49; O75410-7; Q9JLI4
P10828	P10828	Q60974; Q9Y618
P11142	P11142	Q8IZP0; P60709; Q9GZX7; P05067; P49407; P32121; Q9NQ11; P54253; Q99933; O95816; O95429; Q15131; P00533; Q9BQI3; Q9H6T0; O14976; P01893; P34932; Q9NZL4; P42858; Q14164; PRO_0000015820 [P01308]; P05412; P00338; Q5S007; Q99558; P10636; P10636-6; P40692; P14598; P57723; O60260-5; Q15428; Q9UNE7; P61764; Q15750; O15273; Q8TDR0; O00635; Q99614; Q9ULK5; P50552; Q8AZK7; P38260; Q5WZW9; P03485; PRO_0000045603 [Q99IB8]; Q9UNE7-1
P11217	P11217	Q96HA8; O43741; P11216; P06737; PRO_0000449633 [P0DTD1]
P11274	P11274	O96018; Q12959; Q15700; Q92796; P78352; P62993; Q86UL8; Q8NI35; Q5T2W1; Q14160; Q6ZV89-1; Q9H2K2; A2AM67; Q8JZW5; P18031
P11309	P11309	Q8N9N5; Q8N7W2-2; P51813; P07954; P51116; Q96MH2; Q5T203; P39019; P0C1Z6-2; Q9Y2K1; P46527; O43524; Q9BZS1-1; Q9UNQ0; P51813; P17252
P11362	P11362	P23352; P12830; P35222; P05230; P09038; Q9GZV9; P11362; P21802; P22455; Q8WU20; P08238; P08908; P46934; Q8IVI9; P27986; P19174; O88900; O35082; P10686; Q02363; Q9BRX2; P09038; O35082; P09038
P11387	P11387	P00519; P01106; P19338; Q99801; P42768; P03070
P11388	P11388	O14497-1; P38398; P35222; Q05655
P11413	P11413	P11413; P04792; Q8IXJ6
P11473	P11473	P35222; Q09472; Q15648; P50222; Q15788; P26045; P19793; Q13573; Q13501; P04637; Q15645; Q9JLI4; P28700; X5D778; Q96HA8; Q01804; Q96S38; P48443
P11474	P11474	P62508-3; Q8IZU1; Q16665; Q8N2W9; Q9UBK2; Q04864-2; P78317; P48788
P11802	P11802	Q9UH17; Q8IZT6; P46379; P24385; P30279; P30281; Q16543; P50613; P38936; P46527; P49918; P42771; P42772; P42773; P55273; Q9UJU6; Q969H0; Q9UJC3; P08238; Q9UKT9; Q0VD86; P01106; Q9ULD0; P28749; Q08999; Q9BY78; Q9NS64; P09936; Q8N720
P11926	P11926	Q9H8Y8; Q92993; Q9UMX2; Q9UMX2-2
P12004	P12004	P04075; P03950; P07355; P61769; P38936; P42771; Q9H211; Q13111; Q96DZ9-2; P68104; P06733; P39748; P24522; P04406; Q14527; Q9H160; Q9H063; P20585; O95944; P61970; Q15004; P12004; P18669; P00558; P28340; P49005; Q15054; Q9HCU8; P30041; Q9UBF6; Q86TU7; Q8IWU4; Q9NZD8; A2RU14; P60174; Q5FWF4; Q8TE30; Q9Z111; Q1K9H5; B4URF7
P12268	P12268	O95994; Q96GX9; Q9BU20; Q8WWZ1; P20839-3; P78424; P40763; Q12933; Q03020; P38340
P12821	P12821	P05556
P12931	P12931	P00519; P42684; P12814; O14672; O43184; Q13444; P07550; P55196; P10275; P49407; P32121; Q9ULH1; Q6XD76; P56945; Q14457; P22681; Q16543; Q9H5V8; P12830; P68400; P35222; Q05193; P00533; P04626; P21860; P03372; P03372-4; P14921-1; P25445; Q8NFZ0; P06241; Q13480; Q13322-4; P19367; P61978; P01112; P07900; Q9Y6K9; P35968; Q07666; P10721; Q9UIH9; Q8TBB1; Q14693; P07948; Q9H204; P08581; P15941; Q13177; Q8WUM4; P16284; P27986; P27986-2; Q92569; Q05655; Q05397; Q14289; P18031; Q16825; P18433; Q15907; Q13905; Q01973; P27635; O00560; O60880; O14796; P35326; Q9C0H9; Q13829; Q68CZ2; Q9UNY5; P25962; Q8R5G7; P52800; P97288; P03407; P04604; Q9QPN3; P34152; P18052; Q62884
P13500	P13500	P13501; P80075; P02776; P78317; Q9Y320; Q2F862; P98066
P13569	P13569	Q6UWZ7; Q96QU6; O14734; P60709; O43865; O95154; P09972; Q9BT30; Q9NP61; P16615-1; P51572; A1A5D9; Q9H7E9; P62158; O43852-1; P27824; Q01518; P07384; P47756; O14936; Q9Y3X0; Q53EZ4; P13569; Q8NCH0; P51790-2; O00299; Q13057; Q9Y678; P29762; Q96BA8; Q14406; Q13616; Q8N8Q1; Q6PI48; Q96HY6; Q9NUU7; Q9UHI6; Q9BUN8; Q7L2E3; Q8TBM8; Q96KC8; Q9Y295; P60981; O60869; P07099; Q6P6B1; P13804; Q0VG06; Q9NYY8; Q14314; Q14192; O75344; Q9UJY5; P62879; Q9HD26; Q9H8Y8; P07203; P0CG30; Q9P035; Q9BX68; P19367; O75330; P10809; O15554; O94889; O15131; P05787; Q08380; Q9HBW0; P33241; Q6P0Q8; Q9HCC0; P08582; Q92552; Q96S97; P41227; O14745; Q15599; Q9NZM5; Q9BVG4; P08559; P30101; Q5T2W1; P30153; O60831; P55036; P26599; O75127; Q96PK6; Q99942; Q7Z5V6; O15126; Q14160; P31040; Q9P0V3; P29353; Q96RN1; O00400; P63162; Q13884; Q96L92; Q9UHB9; Q9NSC7; O95793; Q9P289; Q92734; Q96Q45; Q8WWA1; O14545; P19474; Q13049; Q9C035; Q13432; Q14694; O94966; Q9BXU7; Q9P0L0; O95292; P45880; Q9UN37; Q9UEU0; O00308; Q8WTP9; Q9BYJ9; P17026; P19120; Q9JIL4; Q9QX74
P13612	P13612	Q8IZP0-2; P05556; P26010; P49023; P84092
P13631	P13631	Q96RK4; P13349; P31321; P28702; P48443; O60504-2
P13726	P13726	P55085; P08709; Q9UM19; Q92544
P13866	P13866	P00533
P14324	P14324	O95870; P54253; Q6ZMZ0; Q9BRI3; Q8WWF3
P14410	P14410	O43451
P14416	P14416	Q9NRI5; P14416; Q01959
P14550	P14550	P42858; Q9NYB0; O76024
P14598	P14598	Q8IZP0; P60709; P78325; P28329-3; P13498; Q15700; P22607; P04899; P06396; P11142; P42858; Q86UL8; P19878; Q15080; Q05513; Q04206; Q9BUZ4
P14616	P14616	P08238; P06213; Q6FHY5
P14618	P14618	P49407; P32121; Q96IK1-2; P35222; P53355; P22607; P42858; P04049; Q8N488; Q7Z699; Q9BSI4; Q9UMX0; Q9Y649; P03129; P04020; Q9WMX2; P35222; P53355; Q9H6Z9; P68431; Q16665; P27361
P14625	P14625	P05067; P04626; Q00597; P11021; P10636-8
P14735	P14735	P05067; P55773; P10147; P02686; PRO_0000000093 [P05067]; P01275; P10997; P14735-1; P01308; Q9J3M8
P14780	P14780	Q16819; Q16820; P14780; Q8IX30; P13611; Q9ZFS6
P14859	P14859	Q9H4B4; Q7Z3K3; P08047; Q02446; O15145; P49407; Q03060-25; P55197-2; P23511-2; P14859-6; P78424; O43314-2; P86480; Q8TAD8; Q9Y343; Q02446; Q6ZVD7; Q7KZS0; Q96K80; Q15911-2; O95789-4; P32562
P14920	P14920	Q9P2K6; O43741
P15056	P15056	P21399; P31749; P10398; P49407; O14965; P25311; Q92560; Q07817; Q92843; P15056; P40259; Q6P1J9; P42772; P61024; P35221; Q13618; Q16254; Q9GZV4; Q7Z589; P18074; P28715; O43524; Q8WXI9; P17174; P49840; O95714; P01112; P08238; O75874; O14920; P46940; P27987; Q14145; Q02750; P36507; Q13233; Q15759; Q16659; Q13164; Q9NX70; O00255; P07196; P01111; Q9BRP1; P48736; P27986; P16885; Q07864; O15297; Q02156; P57735; P04049; Q12967; P61224; Q15349; Q8N122; Q8IYM1; P31947; Q9UMX1; P04637; Q13114; P40337; P31946; P62258; P61981; P27348; P63104; Q61097; P29678; Q99N57; Q8CGE9
P15382	P15382	P51787; A6HIS0
P15559	P15559	P07902; Q9UK53; P15559
P16050	P16050	P30086; Q9BSF4
P16152	P16152	O75828; Q9Y478
P16234	P16234	P46108; P46109; P00533; Q8N6L0; P04085; P01127; Q9NRA1; Q15238; P31947; P62258; Q9NRA1-1; A8T7D5; P05067; Q8IY26
P16591	P16591	Q16543; P08238; O42486
P17252	P17252	Q15027; Q06481-5; Q66PJ3-4; Q13072; Q8N9N5-2; Q96A33; Q96LY2-2; P15169; P43234; O95424; P78352; O43598; P21728; P00533; P60228; Q96J88-3; Q8IVH2-2; Q96NE9-2; O14926; Q06547-3; P19440-3; Q9UJ42; P62805; Q9UBN7; P52597; Q92826; Q02363; Q96FT9-2; P17936; P26951; Q9BYR8; Q9Y234; P51884; Q9H213; P80192; Q15759; A0JLT2-2; Q8N983-3; P49821; Q2M1J6; Q9BRX2; Q9Y6X2; P11309-2; Q6P1J6-2; Q9UNA4; Q02156; P05129; P07225; Q3YEC7-3; O94844; Q9NWS8-3; Q9ULK6-3; P18077; Q14160; P31431; Q99643; Q14141; Q01105-2; P37840; Q9Y5X0; P56693; Q9BRW5; O43761; P15884; Q3YBM2; Q9H8H3; P0CG48; P13051-2; Q8NB14; O95498; Q9NZC7-5; Q9BQ24; Q05CR2; Q8N0Y2-2; O15535; Q24008
P17302	P17302	Q9NP61; Q8TAB5; O43889-2; P48730-2; Q02487-1; Q9NZG7; Q5VZY2; Q07157; Q5BJH2-2; Q8N661
P17405	P17405	P55210
P17516	P17516	P42330; Q6UX71
P17612	P17612	Q9GZX7; P54819; Q9NQ31; P31749; P09917; Q92870-2; Q9HC16; P05067; P54253; P54252; Q4VBR4; Q5T686; O95816; P23560-2; P35520; P40227; P12830; Q8NE08; P48730-2; O14531; P26378-2; P15036; P04406; P48058; P49841; P07900; P42858; O75874; P06756; P23276; Q5S007; Q13387-4; Q16549; P27986-2; Q9C010-2; Q9Y2B9; O14494; P00491; P10644; P31321; P31323; Q13200; P21246; Q04206; Q6NTF9-3; P61513; P04271; Q99720-4; P84022; Q16560-2; Q3SY56; Q9UNE7; O60784-2; Q9Y228; Q9UHP3; Q969W3; Q9UBQ0-2; P63104; P59215; P12369
P17787	P17787	P43681-1; P30532
P17948	P17948	P22681; P46109; P49763; P27986; Q12913; P15692; P15692-4; PRO_0000391621 [P98160]; PRO_0000391622 [P98160]
P18507	P18507	P51513; O95166
P18825	P18825	Q8N4L8; Q9Y6H1; Q9Y2B0; O14964; Q2WGJ6; O76011; Q99750; O14770-4; Q13064; Q7Z4N8; Q9NZC7-5
P19525	P19525	P78563-4; P06493; Q7L2E3; Q96C10; Q08211; Q9UPY3; Q6P2E9; P19525; P05198; P56537; Q8IY81; Q9HCE1; Q96P20; P06748; O75569; O75569-1; Q9NUL3; Q15633; Q9H0E2; Q9UL40; Q27968; P0DTC9; P20639; P04487; Q2HR71; PRO_0000278746 [O92972]; PRO_0000037570 [P27958]; PRO_0000037576 [P27958]
P19784	P19784	Q8NDY6; P68400; P67870; O60282; Q9NRD5; Q15287; Q8WV44; Q9BS34; P03211
P19793	P19793	O14503; P35637; Q15648; Q71SY5; Q15788; Q15596; P55055; P55055-1; Q13133; P27986; P37231; P37231-1; P10276; P42224; P11473; P97792-1; Q9JLI4; P04625; PRO_0000278730 [Q03463]
P19838	P19838	Q92887; O15111; P35606; P35222; Q13547; Q9NWT6; O14920; P41279; P19838; Q00653; P25963; Q15653; O00221; P46531; Q14690; Q8IZL8; Q8IV08; Q04864; Q04206; Q01201; P23396; O60271; Q15025; Q8NFZ5; P10226; Q8NFZ5; P42858; P03372; O00255; O00255-2; Q04206; P10226
P20309	P20309	P08912; Q8IZF0
P20618	P20618	O95994; Q9NZD4; Q9HBZ2; Q8N7W2-2; Q96CA5; Q9NP55; Q13555-5; Q9NUG4; O60729; Q16740; Q9Y2V7; P78358; Q9UIA0; Q8WTU0; Q96C01; Q9Y247; Q8TAE8; O14893; P57678; Q86WP2; Q4V328; Q9BX10; Q9NP66; P49639; P42858; Q9P2X3; Q96N16; Q9H079; Q7Z7F0-4; Q9BVG8; Q9BVG8-5; A1A4E9; P19012; Q15323; O76011; O76013-2; Q6A162; Q3LI76; Q8IUB9; Q3SYF9; Q8IUC3; Q5T751; Q5T754; O43679; Q96BZ8; Q9UBR4-2; Q9HAP6; P25800; Q9NQ48; Q9UPY8; Q13064; Q8NB16-2; Q6NTE8; Q5JR59-3; P60323-2; P49821; O00746; O43482; Q6GQQ9; P78356-2; Q58EX7; Q9Y244; P25786; P49721; P49720; P28070; P28074; Q99436; P55036; Q53H96; P57055; O76064; Q9NQG5; Q9UIY3; Q8N488; Q6ZMJ2-2; Q99961; P84022; Q12824-2; Q93045; P0C1Z6; Q8TBB0; Q08117-2; Q9H0E2; Q13077; Q12933; P36406; P14373; Q9HCM9-2; Q6PID6; Q8TF42; Q5SQQ9-2; O76024; P23025; A0A0C4DGF1; Q13360-2; Q7Z4V0; P0C7X2; Q6NX45
