Experiment Time:,2026-05-12 16:12:20
Dataset:,bindingdB
Parameters:,"{'seed': 2023, 'dataset_name': 'bindingdB', 'num_test': 0.2, 'ratio': 1, 'task': 'SP', 'dm': True, 'dm_layers': 2, 'dm_heads': 4, 'dm_residua': True, 'dm_graph': True, 'sf': True, 'hops': 4, 's_dim': 128, 'hidden_dim': 256, 'train_times': 10, 'train_epoch': 1000, 'batch_size': 512, 'use_global': True, 'use_local': True, 'save_best_predictions': True}"

Run,auc,ap,acc,sen,pre,spe,F1,mcc
1,0.9787,0.978,0.9281,0.9455,0.9137,0.9107,0.9293,0.8567
2,0.9777,0.9738,0.9298,0.9536,0.9103,0.906,0.9314,0.8606
3,0.9823,0.9821,0.9234,0.8933,0.9506,0.9536,0.9211,0.8484
4,0.9739,0.9746,0.9101,0.9536,0.8773,0.8666,0.9138,0.8233
5,0.9803,0.9805,0.9304,0.9652,0.9024,0.8956,0.9327,0.8629
6,0.9759,0.9773,0.9211,0.9652,0.887,0.877,0.9244,0.8455
7,0.9804,0.9801,0.9304,0.9687,0.8998,0.8921,0.933,0.8633
8,0.9795,0.978,0.9327,0.9246,0.9399,0.9408,0.9322,0.8655
9,0.9821,0.9798,0.9147,0.8585,0.9673,0.971,0.9096,0.8348
10,0.9808,0.9767,0.9339,0.949,0.9212,0.9188,0.9349,0.8681

Mean,0.97916,0.9780899999999999,0.9254599999999998,0.93772,0.9169500000000002,0.9132199999999999,0.92624,0.85291
Std,0.00254527012318928,0.002490160637388676,0.0075711557902344,0.034034182816691794,0.02691086211922614,0.03171935686611567,0.008338968761183858,0.013965919232188042
