Experiment Time:,2026-05-31 16:48:43
Dataset:,bindingdB
Parameters:,"{'seed': 2023, 'dataset_name': 'bindingdB', 'num_test': 0.2, 'ratio': 5.0, 'task': 'SP', 'sf': True, 'hops': 3, 's_dim': 128, 'hidden_dim': 256, 'train_times': 10, 'train_epoch': 1000, 'batch_size': 512, 'use_global': True, 'use_local': True, 'save_best_predictions': True, 'save_name': 'bindingdB_ratio5'}"

Run,auc,ap,acc,sen,pre,spe,F1,mcc
1,0.9763,0.9321,0.9557,0.8434,0.8855,0.9782,0.8639,0.8379
2,0.976,0.9396,0.9571,0.8469,0.8902,0.9791,0.868,0.8428
3,0.9769,0.9374,0.9571,0.8619,0.8783,0.9761,0.87,0.8444
4,0.9732,0.9351,0.9594,0.8028,0.9454,0.9907,0.8683,0.8484
5,0.9753,0.9272,0.9542,0.8677,0.8588,0.9715,0.8632,0.8357
6,0.9752,0.9274,0.9584,0.8724,0.8775,0.9756,0.8749,0.85
7,0.9776,0.9404,0.9611,0.8469,0.9136,0.984,0.879,0.8568
8,0.9649,0.9229,0.9551,0.7819,0.9387,0.9898,0.8532,0.8318
9,0.9731,0.9292,0.954,0.8445,0.875,0.9759,0.8595,0.8322
10,0.977,0.933,0.9584,0.8538,0.8921,0.9794,0.8726,0.848

Mean,0.97455,0.9324300000000001,0.95705,0.84222,0.8955099999999998,0.98003,0.8672600000000001,0.8428000000000001
Std,0.00352171833058807,0.005487267079339213,0.002205107707119997,0.02706343658887392,0.026852353714339458,0.0059545024981101525,0.007207801329115566,0.007852260820935585
