Experiment Time:,2026-05-31 16:41:30
Dataset:,bindingdB
Parameters:,"{'seed': 2023, 'dataset_name': 'bindingdB', 'num_test': 0.2, 'ratio': 3.0, 'task': 'SP', 'sf': True, 'hops': 3, 's_dim': 128, 'hidden_dim': 256, 'train_times': 10, 'train_epoch': 1000, 'batch_size': 512, 'use_global': True, 'use_local': True, 'save_best_predictions': True, 'save_name': 'bindingdB_ratio3'}"

Run,auc,ap,acc,sen,pre,spe,F1,mcc
1,0.9815,0.9618,0.9504,0.891,0.9089,0.9702,0.8998,0.867
2,0.9755,0.9523,0.9492,0.8886,0.9065,0.9695,0.8975,0.8638
3,0.9683,0.9155,0.935,0.8968,0.8513,0.9478,0.8734,0.8303
4,0.9766,0.9579,0.9495,0.8863,0.9095,0.9706,0.8978,0.8644
5,0.9761,0.9412,0.9455,0.8852,0.8955,0.9656,0.8903,0.8541
6,0.9758,0.9486,0.9385,0.8968,0.8627,0.9524,0.8794,0.8385
7,0.9813,0.9629,0.949,0.8654,0.9256,0.9768,0.8945,0.8617
8,0.9745,0.9444,0.9437,0.8794,0.8939,0.9652,0.8865,0.8492
9,0.9764,0.957,0.9504,0.9049,0.8976,0.9656,0.9012,0.8681
10,0.9801,0.9563,0.9461,0.9246,0.8682,0.9532,0.8955,0.86

Mean,0.97661,0.9497900000000001,0.9457299999999998,0.8918999999999999,0.89197,0.96369,0.8915900000000001,0.8557099999999999
Std,0.0036577178677421073,0.013276328558754486,0.005022758206404122,0.014942422828979257,0.02249377914002003,0.00891812199961404,0.008740989646487424,0.01209565624511542
