Experiment Time:,2026-05-12 16:03:25
Dataset:,bindingdB
Parameters:,"{'seed': 2023, 'dataset_name': 'bindingdB', 'num_test': 0.2, 'ratio': 1, 'task': 'SP', 'dm': True, 'dm_layers': 2, 'dm_heads': 4, 'dm_residua': True, 'dm_graph': True, 'sf': True, 'hops': 2, 's_dim': 128, 'hidden_dim': 256, 'train_times': 10, 'train_epoch': 1000, 'batch_size': 512, 'use_global': True, 'use_local': True, 'save_best_predictions': True}"

Run,auc,ap,acc,sen,pre,spe,F1,mcc
1,0.9774,0.9758,0.9229,0.9548,0.8975,0.891,0.9252,0.8474
2,0.9661,0.9715,0.92,0.906,0.932,0.9339,0.9188,0.8402
3,0.9746,0.9764,0.9159,0.9385,0.8979,0.8933,0.9178,0.8326
4,0.9762,0.9727,0.9345,0.9281,0.9401,0.9408,0.934,0.869
5,0.9735,0.9741,0.9304,0.9385,0.9235,0.9223,0.931,0.8609
6,0.9753,0.9666,0.931,0.9548,0.9114,0.9072,0.9326,0.8629
7,0.9799,0.9816,0.931,0.9281,0.9335,0.9339,0.9308,0.862
8,0.9813,0.9835,0.9356,0.9118,0.9574,0.9594,0.934,0.8722
9,0.9715,0.9714,0.924,0.9362,0.9139,0.9118,0.9249,0.8483
10,0.9796,0.9748,0.935,0.9385,0.932,0.9316,0.9353,0.8701

Mean,0.97554,0.97484,0.92803,0.93353,0.9239200000000001,0.9225199999999999,0.9284399999999999,0.85656
Std,0.004279065318501227,0.004691097952505367,0.006520590464060739,0.01508350423475922,0.017992876368163054,0.020573614169610545,0.006062045859278885,0.012904200866384552
