Experiment Time:,2026-05-12 16:48:02
Dataset:,bindingdB
Parameters:,"{'seed': 2023, 'dataset_name': 'bindingdB', 'num_test': 0.2, 'ratio': 1, 'task': 'SP', 'dm': True, 'dm_layers': 2, 'dm_heads': 4, 'dm_residua': True, 'dm_graph': True, 'sf': True, 'hops': 3, 's_dim': 128, 'hidden_dim': 256, 'train_times': 10, 'train_epoch': 1000, 'batch_size': 512, 'use_global': True, 'use_local': True, 'save_best_predictions': True}"

Run,auc,ap,acc,sen,pre,spe,F1,mcc
1,0.9803,0.9791,0.9287,0.9408,0.9185,0.9165,0.9295,0.8576
2,0.974,0.9779,0.9269,0.9455,0.9116,0.9084,0.9282,0.8544
3,0.9787,0.9807,0.9333,0.9258,0.9399,0.9408,0.9328,0.8667
4,0.9778,0.9786,0.935,0.9327,0.9371,0.9374,0.9349,0.8701
5,0.9753,0.9781,0.9246,0.949,0.9049,0.9002,0.9264,0.8502
6,0.9812,0.9826,0.9356,0.92,0.9497,0.9513,0.9346,0.8717
7,0.9766,0.9775,0.913,0.8619,0.9599,0.964,0.9083,0.8303
8,0.9715,0.9715,0.931,0.9327,0.9295,0.9292,0.9311,0.862
9,0.9768,0.971,0.9258,0.9142,0.9359,0.9374,0.9249,0.8517
10,0.9813,0.9789,0.9362,0.9142,0.9563,0.9582,0.9348,0.8732

Mean,0.97735,0.9775899999999998,0.9290100000000001,0.9236799999999998,0.9343300000000001,0.93434,0.9285499999999999,0.8587900000000002
Std,0.0030276228298782367,0.0034737443774693648,0.006663249957790875,0.023638054065425934,0.017523130428094176,0.01995049874063303,0.0075470855301897725,0.012375495949657929
