Experiment Time:,2026-05-12 16:45:04
Dataset:,bindingdB
Parameters:,"{'seed': 2023, 'dataset_name': 'bindingdB', 'num_test': 0.2, 'ratio': 1, 'task': 'SP', 'dm': True, 'dm_layers': 2, 'dm_heads': 4, 'dm_residua': True, 'dm_graph': True, 'sf': True, 'hops': 3, 's_dim': 128, 'hidden_dim': 256, 'train_times': 10, 'train_epoch': 1000, 'batch_size': 512, 'use_global': True, 'use_local': True, 'save_best_predictions': True}"

Run,auc,ap,acc,sen,pre,spe,F1,mcc
1,0.9789,0.9806,0.9269,0.9165,0.936,0.9374,0.9261,0.854
2,0.9781,0.9758,0.931,0.9617,0.906,0.9002,0.933,0.8636
3,0.9737,0.973,0.9252,0.9548,0.9014,0.8956,0.9273,0.8518
4,0.9784,0.9723,0.9339,0.9339,0.9339,0.9339,0.9339,0.8677
5,0.9751,0.9765,0.9275,0.9501,0.909,0.9049,0.9291,0.8559
6,0.9807,0.9748,0.9391,0.9269,0.9501,0.9513,0.9383,0.8785
7,0.9726,0.9645,0.9182,0.9339,0.9055,0.9026,0.9195,0.8368
8,0.9758,0.9814,0.9385,0.9292,0.9468,0.9478,0.9379,0.8772
9,0.9762,0.9731,0.9368,0.9316,0.9414,0.942,0.9364,0.8736
10,0.9763,0.9783,0.9298,0.9559,0.9085,0.9037,0.9316,0.8608

Mean,0.97658,0.97503,0.93069,0.9394499999999999,0.92386,0.92194,0.9313100000000001,0.8619899999999999
Std,0.00234810561943027,0.0045965313008833105,0.006252431527014111,0.01423799494310909,0.018406205475328143,0.021162996007181974,0.005616306615561507,0.012307026448334302
