fold,auc,ap,acc,sen,pre,spe,f1,mcc
1,0.9774920143024212,0.972392616748495,0.9281575898029858,0.9495944380068975,0.9105555555555049,0.9067207415990205,0.9296653431150289,0.8571032857873072
2,0.9803126875581555,0.9771891442187165,0.9325028968713519,0.9687137891077074,0.9032955159372823,0.8962920046349423,0.9348616158292371,0.8672831971323016
3,0.9744716146885812,0.968377631470509,0.9272885283893126,0.9640787949014505,0.8980032379923962,0.890498261877121,0.9298686783517992,0.8568998736255345
4,0.9738959042218021,0.9676540848872804,0.924057971014466,0.9489855072463218,0.9039204859193316,0.8991304347825565,0.9259049773255427,0.8491719189994161
5,0.9698849821466078,0.9642910583658957,0.9069565217391041,0.9037681159419766,0.9095682613768431,0.9101449275361791,0.9066589124245042,0.8139295923515046
Mean,0.9752114405835135,0.9699809071381793,0.9237927015634441,0.9470281290408709,0.9050686113562717,0.900557274085964,0.9253919054092223,0.8488775735792128
Std,0.003517751410703936,0.0044302144137501834,0.008839319835838145,0.02299060270322775,0.004576788548925514,0.007089760940555686,0.009789458107582335,0.018396927182876287
